,NOM,NOMBRE
248,AARAB,144
447,ABAD,344
484,ABADIE,1483
812,ABASSI,145
838,ABATE,159
915,ABBA,116
930,ABBAD,122
938,ABBADIE,165
949,ABBAL,104
967,ABBAS,368
1005,ABBASSI,163
1039,ABBE,116
1055,ABBES,231
1103,ABBOU,325
1111,ABBOUD,131
1207,ABDALLAH,766
1396,ABDELAZIZ,136
1563,ABDELKADER,210
1629,ABDELLAOUI,283
1643,ABDELLI,277
1912,ABDERRAHMANE,125
1991,ABDI,258
2107,ABDOU,608
2407,ABDUL,148
2603,ABECASSIS,280
2616,ABED,314
2713,ABEILLE,191
2733,ABEL,357
2734,ABELA,105
2743,ABELARD,133
2783,ABELLA,130
2788,ABELLAN,100
2812,ABELLO,119
2978,ABERGEL,147
2990,ABERKANE,123
3102,ABGRALL,348
3187,ABICHOU,123
3191,ABID,393
3224,ABIDI,327
3439,ABITBOL,543
3463,ABIVEN,215
3773,ABOU,165
3963,ABOUDOU,150
4713,ABRAHAM,763
4759,ABRAM,117
4968,ABRIAL,271
5079,ABRY,148
5086,ABSALON,112
5326,ACAR,165
5401,ACCART,144
5402,ACCARY,112
5628,ACHACHE,148
5695,ACHARD,972
5848,ACHER,143
6077,ACHOUR,453
6085,ACHOURI,156
6207,ACKER,257
6212,ACKERMANN,312
6291,ACOSTA,104
6377,ACQUAVIVA,272
6592,ADAM,3828
6660,ADAMI,131
6689,ADAMO,171
6719,ADAMS,245
6876,ADDA,282
6946,ADDE,132
7104,ADEL,337
7114,ADELAIDE,253
7134,ADELE,220
7159,ADELINE,218
7171,ADELL,102
7258,ADENOT,113
7275,ADER,237
7810,ADLER,181
7892,ADNET,183
7898,ADNOT,215
7953,ADOLPHE,628
8061,ADOUE,101
8176,ADRIAN,218
8195,ADRIEN,206
8556,AFCHAIN,103
8812,AFKIR,111
8861,AFONSO,592
9311,AGARD,134
9340,AGASSE,138
9673,AGEORGES,149
9679,AGERON,132
9908,AGIER,157
9949,AGIUS,123
10049,AGNEL,150
10068,AGNERAY,119
10072,AGNES,228
10103,AGNIEL,160
10176,AGOGUE,149
10219,AGOPIAN,111
10274,AGOSTINI,698
10680,AGUER,147
10681,AGUERA,132
10703,AGUERRE,159
10821,AGUILAR,520
10884,AGUILERA,176
10927,AGUILLON,205
10958,AGUIRRE,186
11016,AGULLO,153
11182,AHAMADA,272
11219,AHAMADI,174
11745,AHMED,818
12473,AID,102
12558,AIELLO,252
12700,AILLAUD,276
12710,AILLET,110
12724,AILLOUD,135
12750,AIMAR,164
12753,AIMARD,141
12763,AIME,547
12984,AIRAUD,104
12988,AIRAULT,152
13085,AISSA,157
13104,AISSANI,189
13108,AISSAOUI,487
13255,AIT ALI,108
14508,AIT SAID,110
16090,AKLI,104
16141,AKNIN,179
16529,AKSOY,155
16532,AKSU,117
16544,AKTAS,191
16902,ALAIN,225
17218,ALAOUI,124
17300,ALARCON,372
17339,ALARD,155
17367,ALARY,520
17489,ALAUX,331
17529,ALAVOINE,147
17579,ALAZARD,267
17602,ALBA,264
17693,ALBANESE,183
17710,ALBANO,135
17750,ALBARET,244
17818,ALBAYRAK,101
17936,ALBEROLA,131
17947,ALBERT,2660
17977,ALBERTI,340
17988,ALBERTINI,780
18004,ALBERTO,221
18102,ALBIN,175
18110,ALBINET,185
18264,ALBOUY,471
18275,ALBRAND,131
18283,ALBRECHT,324
18477,ALCARAZ,384
18664,ALCOUFFE,109
18774,ALDEBERT,222
18975,ALEGRE,128
19107,ALEM,119
19128,ALEMANY,166
19259,ALESSANDRI,193
19263,ALESSANDRINI,124
19274,ALESSI,143
19289,ALET,117
19317,ALEX,161
19324,ALEXANDER,144
19340,ALEXANDRE,2735
19463,ALEXIS,501
19664,ALFONSI,343
19667,ALFONSO,186
19711,ALFRED,158
20093,ALI,980
20122,ALIAGA,114
20160,ALIANE,113
20170,ALIAS,169
20262,ALIBERT,839
20674,ALIMI,147
20758,ALINE,119
20986,ALIX,957
21294,ALLA,121
21391,ALLAIN,1975
21403,ALLAIRE,529
21410,ALLAIS,518
21425,ALLAL,200
21434,ALLALI,286
21444,ALLAM,171
21451,ALLAMAND,101
21500,ALLANIC,278
21505,ALLANO,111
21526,ALLAOUI,217
21544,ALLARD,2239
21580,ALLART,457
21582,ALLARY,185
21673,ALLEAUME,296
21716,ALLEGRE,647
21719,ALLEGRET,116
21735,ALLEGRINI,132
21764,ALLEMAND,805
21795,ALLEN,196
21967,ALLIBERT,192
22000,ALLIER,281
22019,ALLIGIER,108
22084,ALLIO,139
22092,ALLIONE,134
22096,ALLIOT,384
22137,ALLIX,236
22164,ALLO,156
22194,ALLOIN,117
22262,ALLOT,105
22274,ALLOU,125
22277,ALLOUACHE,113
22291,ALLOUCH,136
22293,ALLOUCHE,794
22604,ALMEIDA,408
22789,ALMERAS,259
23150,ALONSO,988
23267,ALONZO,180
23352,ALOUI,249
23476,ALPHONSE,267
23540,ALQUIER,365
23578,ALRIC,298
24180,ALTUN,120
24384,ALVAREZ,1110
24628,ALVES,1659
25439,AMADEI,120
25460,AMADIEU,148
25474,AMADO,103
25486,AMADOR,332
25694,AMALOU,105
25697,AMALRIC,260
25748,AMAND,271
25807,AMANN,165
25862,AMAR,1196
25863,AMARA,545
25873,AMARAL,163
26006,AMARI,251
26056,AMARO,109
26175,AMAT,379
26203,AMATO,286
26422,AMBERT,227
26468,AMBLARD,651
26562,AMBROISE,352
26591,AMBROSI,145
26600,AMBROSINI,129
26601,AMBROSINO,117
26894,AMELIN,111
26897,AMELINE,321
26926,AMELOT,161
27107,AMESTOY,159
27112,AMET,156
27140,AMEUR,238
27212,AMGHAR,209
27290,AMIARD,174
27301,AMIC,132
27304,AMICE,151
27320,AMICO,107
27350,AMIEL,726
27391,AMIGUES,102
27519,AMIOT,811
27530,AMIR,102
27561,AMIRAULT,190
27596,AMIRI,134
27774,AMMAR,358
27785,AMMARI,201
27866,AMMOUR,153
28000,AMOR,116
28124,AMOROS,307
28154,AMORY,157
28236,AMOUR,133
28272,AMOUROUX,388
28301,AMOUYAL,272
28377,AMPHOUX,102
28452,AMRAM,154
28457,AMRANE,189
28459,AMRANI,310
28471,AMRAOUI,180
28494,AMRI,793
28525,AMROUCHE,192
28553,AMSALLEM,141
28575,AMSELLEM,681
28686,AMY,145
28722,AMZALLAG,102
29151,ANCEL,522
29156,ANCELIN,403
29242,ANCIAUX,153
29444,ANDERSON,178
29662,ANDRADE,209
29787,ANDRAL,106
29804,ANDRAUD,158
29807,ANDRAULT,125
29813,ANDRE,7822
29836,ANDREANI,475
29928,ANDREI,178
30005,ANDREO,228
30014,ANDREOLI,115
30050,ANDRES,779
30099,ANDREU,379
30149,ANDREY,114
30599,ANDRIES,159
30610,ANDRIEU,1992
30622,ANDRIEUX,1350
30686,ANDRIOT,186
30735,ANDRO,107
30834,ANDRY,128
30879,ANDURAND,102
30906,ANE,126
31069,ANFRAY,241
31150,ANGE,121
31165,ANGEL,169
31181,ANGELE,101
31205,ANGELI,324
31232,ANGELINI,250
31326,ANGELY,113
31345,ANGER,472
31375,ANGEVIN,126
31411,ANGIBAUD,185
31465,ANGLADE,739
31497,ANGLES,267
31584,ANGOT,686
31805,ANICET,148
32098,ANKRI,109
32210,ANNE,669
32260,ANNEQUIN,122
32295,ANNETTE,134
32590,ANQUETIL,507
32597,ANQUEZ,125
32694,ANSART,226
32737,ANSEL,323
32743,ANSELIN,154
32754,ANSELME,319
32766,ANSELMO,125
32864,ANSQUER,226
32885,ANSTETT,191
33043,ANTHOINE,176
33057,ANTHONIOZ,140
33066,ANTHONY,107
33127,ANTIER,183
33142,ANTIGNY,114
33254,ANTOINE,2672
33328,ANTON,565
33329,ANTONA,114
33372,ANTONELLI,184
33394,ANTONI,322
33439,ANTONIN,100
33442,ANTONINI,351
33447,ANTONIO,270
33495,ANTONIOTTI,113
33580,ANTONY,186
33707,ANTUNES,658
34128,AOUAD,118
34133,AOUADI,162
34242,AOUDIA,105
34354,AOUIZERATE,111
34420,AOUN,118
34434,AOUNI,111
34494,AOUSTIN,171
34586,APARICIO,204
35004,APPERE,116
35007,APPERT,217
35190,APTEL,103
35340,ARAB,338
35487,ARAGON,252
35668,ARANDA,158
35860,ARAUJO,318
36179,ARBEZ,136
36250,ARBOGAST,221
36273,ARBONA,153
36504,ARCHAMBAUD,167
36506,ARCHAMBAULT,376
36514,ARCHAMBEAU,103
36559,ARCHER,259
36604,ARCHIMBAUD,190
36933,ARDISSON,120
36971,ARDOIN,159
36990,ARDOUIN,432
37151,ARENA,188
37157,ARENAS,342
37193,ARENE,131
37328,AREZKI,108
37348,ARFAOUI,182
37371,ARFI,204
37434,ARGAUD,159
37464,ARGENCE,116
37491,ARGENTIN,166
37601,ARGOUD,204
37786,ARIAS,215
37845,ARIBAUD,102
37912,ARIES,108
37922,ARIF,128
38327,ARLAUD,210
38376,ARLOT,157
38424,ARMAND,1470
38443,ARMANDO,122
38454,ARMANET,146
38522,ARMBRUSTER,107
38561,ARMENGAUD,286
38771,ARNAL,1037
38833,ARNAUD,6260
38876,ARNAUDIN,112
38925,ARNAULT,607
39038,ARNOLD,666
39066,ARNOU,138
39069,ARNOUD,100
39078,ARNOULD,1280
39085,ARNOULT,542
39100,ARNOUX,1252
39203,ARON,160
39214,ARONDEL,104
39451,ARPIN,181
39472,ARQUE,102
39651,ARRAULT,138
39882,ARRIGHI,268
39893,ARRIGONI,116
39942,ARRIVE,232
40085,ARROYO,188
40166,ARSAC,349
40280,ARSLAN,468
40370,ARTAUD,432
40443,ARTERO,177
40468,ARTHAUD,205
40496,ARTHUR,165
40590,ARTIGUE,107
40603,ARTIGUES,168
40634,ARTIS,117
40707,ARTUR,102
40714,ARTUS,322
41002,ARZUR,108
41344,ASENCIO,117
41372,ASENSIO,178
41751,ASLAN,364
42093,ASSADI,107
42159,ASSAILLY,113
42259,ASSANI,234
42354,ASSAYAG,107
42435,ASSELIN,379
42442,ASSELINEAU,113
42465,ASSEMAT,236
42592,ASSIE,300
42598,ASSIER,166
42829,ASSOULINE,312
42858,ASSOUS,243
43033,ASTIC,102
43036,ASTIE,128
43038,ASTIER,1150
43082,ASTOLFI,120
43170,ASTRUC,672
43631,ATES,125
43651,ATGER,139
43674,ATHANASE,103
43945,ATLAN,576
43947,ATLANI,141
43983,ATMANI,177
44230,ATTAL,568
44242,ATTALI,415
44282,ATTAR,159
44285,ATTARD,376
44376,ATTIA,666
44387,ATTIAS,247
44511,ATTOUMANI,314
44680,AUBARD,145
44707,AUBE,361
44719,AUBEL,141
44735,AUBER,266
44745,AUBERGER,228
44768,AUBERT,5225
44799,AUBERTIN,559
44851,AUBIER,128
44867,AUBIN,1225
44877,AUBINEAU,310
44891,AUBLANC,118
44936,AUBOURG,201
44966,AUBREE,313
45000,AUBRIOT,122
45004,AUBRON,109
45006,AUBRUN,291
45011,AUBRY,3412
45102,AUCHER,180
45142,AUCLAIR,635
45173,AUCOUTURIER,143
45227,AUDEBERT,600
45268,AUDEMARD,106
45307,AUDET,162
45345,AUDIBERT,891
45354,AUDIC,163
45362,AUDIER,140
45390,AUDIGIER,225
45403,AUDIN,214
45412,AUDINET,120
45418,AUDINOT,100
45440,AUDO,187
45441,AUDOIN,344
45460,AUDONNET,107
45475,AUDOUARD,309
45486,AUDOUIN,466
45501,AUDOUX,217
45504,AUDOUY,163
45515,AUDRAIN,302
45519,AUDRAN,259
45531,AUDREN,211
45559,AUDRY,187
45580,AUDUREAU,278
45595,AUDY,127
45600,AUER,149
45638,AUFFRAY,537
45649,AUFFRET,927
45680,AUFRERE,200
45697,AUGAGNEUR,112
45717,AUGE,971
45719,AUGEARD,113
45749,AUGENDRE,153
45758,AUGER,1860
45770,AUGEREAU,516
45799,AUGEY,102
45813,AUGIER,746
45827,AUGIS,137
45868,AUGROS,109
45885,AUGUET,137
45898,AUGUIN,125
45914,AUGUSTE,721
45937,AUGUSTIN,607
45944,AUGUSTINE,120
45961,AUGUSTO,237
46027,AUGUY,156
46042,AUJARD,115
46116,AULAS,124
46212,AUMAITRE,127
46271,AUMONT,406
46303,AUNEAU,149
46356,AUPETIT,322
46405,AUPY,129
46450,AURAY,133
46454,AURE,120
46525,AURIAC,156
46541,AURIAULT,119
46596,AURIOL,397
46648,AUROUSSEAU,132
46652,AUROUX,221
46655,AUROY,163
46675,AURY,141
46740,AUSSANT,138
46757,AUSSEL,174
46762,AUSSENAC,138
46777,AUSSET,143
46849,AUSTRUY,186
46956,AUTHIE,105
46958,AUTHIER,416
46976,AUTIER,204
46986,AUTIN,241
46993,AUTISSIER,171
47021,AUTRAN,190
47032,AUTRET,450
47109,AUVINET,222
47122,AUVRAY,1008
47177,AUZANNEAU,156
47264,AUZOU,207
47442,AVCI,157
47521,AVELINE,366
47574,AVENEL,518
47665,AVEROUS,138
47681,AVERTY,265
47756,AVICE,139
47792,AVIGNON,355
47911,AVISSE,197
47998,AVON,201
48090,AVRIL,1132
48109,AVRILLON,132
48420,AYACHE,426
48425,AYACHI,175
48433,AYAD,327
48444,AYADI,434
48464,AYALA,146
48522,AYARI,336
48630,AYDIN,508
48651,AYDOGAN,136
48911,AYMARD,529
48920,AYME,385
48940,AYMES,126
49015,AYOUB,124
49055,AYRAL,232
49066,AYRAULT,263
49286,AZAIS,619
49314,AZAM,269
49520,AZE,129
49589,AZEMA,512
49596,AZEMAR,219
49701,AZEVEDO,208
