,NOM,NOMBRE
111,AARON,340
252,ABBAS,272
294,ABBES,222
323,ABD,202
376,ABDALLAH,2350
522,ABDEL,1396
585,ABDELALI,465
623,ABDELATIF,220
649,ABDELAZIZ,2187
663,ABDELBAKI,103
742,ABDELFATTAH,169
775,ABDELGHANI,636
803,ABDELHADI,275
814,ABDELHAFID,601
831,ABDELHAK,848
837,ABDELHAKIM,671
848,ABDELHALIM,339
859,ABDELHAMID,1274
943,ABDELILAH,361
964,ABDELJALIL,154
996,ABDELKADER,5962
1025,ABDELKARIM,613
1075,ABDELKRIM,1702
1094,ABDELLAH,2059
1118,ABDELLATIF,894
1126,ABDELLAZIZ,174
1179,ABDELMADJID,402
1207,ABDELMAJID,787
1221,ABDELMALEK,504
1225,ABDELMALIK,127
1405,ABDELOUAHAB,333
1413,ABDELOUAHED,203
1562,ABDELWAHAB,133
1624,ABDENBI,135
1659,ABDENNOUR,163
1666,ABDENOUR,310
1687,ABDERAHMANE,123
1786,ABDERRAHIM,984
1798,ABDERRAHMAN,459
1800,ABDERRAHMANE,1570
1839,ABDERRAOUF,121
1850,ABDERRAZAK,553
1862,ABDERRAZZAK,120
1872,ABDERREZAK,158
1917,ABDESLAM,599
1921,ABDESLEM,186
1945,ABDESSALEM,152
1948,ABDESSAMAD,345
1965,ABDESSELAM,152
1978,ABDESSLAM,102
2138,ABDON,233
2156,ABDOU,682
2184,ABDOUL,390
2207,ABDOULAYE,923
2375,ABDUL,327
2434,ABDULLAH,424
2520,ABED,278
2566,ABEL,5364
2724,ABID,112
2753,ABIGAIL,149
2769,ABILIO,454
2927,ABOU,201
2934,ABOUBACAR,266
2947,ABOUBAKAR,139
3078,ABRAHAM,1185
3216,ACACIO,102
3350,ACHILLE,2267
3403,ACHOUR,506
3408,ACHRAF,307
3512,ADA,174
3541,ADALBERT,107
3562,ADAM,1675
3563,ADAMA,511
3657,ADDA,158
3776,ADEL,1588
3784,ADELAIDE,1368
3810,ADELE,2446
3845,ADELIA,105
3851,ADELIE,101
3852,ADELIN,176
3853,ADELINA,196
3859,ADELINE,6397
3861,ADELINO,503
3917,ADEM,504
3975,ADERITO,135
4078,ADIL,1081
4309,ADNAN,326
4312,ADNANE,175
4366,ADOLFO,166
4381,ADOLPHE,3609
4413,ADONIS,171
4506,ADRIAN,1193
4507,ADRIANA,570
4517,ADRIANO,567
4518,ADRIANUS,125
4529,ADRIEN,18577
4534,ADRIENNE,3267
4816,AFIF,140
4857,AFONSO,139
4981,AGATA,133
4986,AGATHE,2988
5170,AGNES,20868
5203,AGNIESZKA,291
5238,AGOP,162
5266,AGOSTINHO,539
5270,AGOSTINO,256
5410,AHAMADA,153
5413,AHAMADI,131
5447,AHCENE,735
5536,AHLEM,136
5555,AHMAD,597
5582,AHMED,13913
5608,AHMET,1492
5761,AI,105
5783,AICHA,2002
5809,AIDA,535
5957,AIMABLE,339
5981,AIME,11888
5984,AIMEE,4158
5995,AIMEN,126
6154,AISSA,1168
6163,AISSATA,147
6170,AISSATOU,217
6528,AKILA,152
6538,AKIM,568
6609,AKLI,677
6714,AKRAM,237
6803,AL,214
6892,ALAIN,153318
6959,ALAN,2005
7026,ALASSANE,223
7075,ALBA,213
7085,ALBAN,3311
7090,ALBANE,580
7099,ALBANO,168
7124,ALBE,108
7145,ALBER,225
7154,ALBERIC,372
7171,ALBERT,59188
7175,ALBERTE,2076
7187,ALBERTINE,2141
7193,ALBERTINO,104
7196,ALBERTO,2604
7227,ALBIN,858
7230,ALBINE,228
7235,ALBINO,465
7326,ALCIDE,823
7327,ALCIDES,103
7348,ALCINO,118
7373,ALDA,139
7471,ALDO,1696
7501,ALDRIC,150
7526,ALEC,117
7586,ALEJANDRA,176
7588,ALEJANDRO,396
7606,ALEKSANDAR,208
7609,ALEKSANDRA,218
7703,ALESSANDRA,230
7709,ALESSANDRO,495
7725,ALETH,147
7735,ALEX,4795
7736,ALEXA,343
7750,ALEXANDER,1156
7753,ALEXANDR,145
7754,ALEXANDRA,13527
7755,ALEXANDRE,45809
7769,ALEXANDRINE,1474
7782,ALEXANDRU,599
7803,ALEXEI,111
7820,ALEXIA,2667
7825,ALEXIANE,110
7842,ALEXINE,127
7847,ALEXIS,13997
7943,ALFONSO,390
7968,ALFRED,16125
7969,ALFREDA,392
7979,ALFREDO,962
8087,ALI,13964
8142,ALICE,18939
8151,ALICIA,1570
8168,ALIDA,253
8191,ALIENOR,226
8204,ALIETTE,564
8301,ALIN,260
8302,ALINA,367
8314,ALINE,15129
8346,ALIOU,207
8353,ALIOUNE,217
8403,ALISON,1381
8417,ALISSON,288
8445,ALIX,3115
8472,ALIZE,136
8474,ALIZEE,609
8534,ALLA,114
8556,ALLAIN,389
8562,ALLAL,299
8571,ALLAN,1116
8585,ALLAOUA,167
8650,ALLEN,119
8720,ALLISON,560
8788,ALMA,173
8941,ALOIS,374
8943,ALOISE,155
9017,ALOYSE,412
9042,ALPHA,204
9082,ALPHONSE,10127
9089,ALPHONSINE,832
9287,ALVARO,560
9307,ALVES,134
9320,ALVIN,108
9366,ALY,280
9469,AMABLE,105
9483,AMADEU,142
9500,AMADOU,906
9543,AMAL,513
9556,AMALIA,232
9601,AMAND,770
9602,AMANDA,980
9613,AMANDINE,8755
9616,AMANDIO,165
9664,AMAR,3130
9665,AMARA,329
9770,AMAURY,1212
9869,AMBRE,636
9888,AMBROISE,1291
9893,AMBROISINE,107
9951,AMEDE,295
9954,AMEDEE,2318
9992,AMEL,761
10004,AMELIA,610
10008,AMELIE,9222
10012,AMELINE,126
10075,AMER,133
10090,AMERICO,461
10133,AMEUR,246
10152,AMEZIANE,175
10236,AMILCAR,187
10252,AMIN,339
10253,AMINA,1017
10260,AMINATA,493
10269,AMINE,1918
10297,AMIR,544
10298,AMIRA,207
10327,AMIROUCHE,108
10395,AMMAR,942
10468,AMOKRANE,181
10494,AMOR,810
10539,AMOUR,172
10577,AMPARO,133
10703,AMY,254
10737,AN,374
10738,ANA,1957
10746,ANABELA,179
10752,ANABELLE,243
10783,ANAEL,221
10787,ANAELLE,514
10821,ANAIS,7463
10943,ANAS,235
10948,ANASS,159
10963,ANASTASE,120
10965,ANASTASIA,556
10966,ANASTASIE,246
11022,ANATOLE,914
11025,ANATOLIE,110
11081,ANCA,147
11149,AND,155
11191,ANDERSON,125
11285,ANDR,259
11306,ANDRE,207781
11307,ANDREA,4154
11319,ANDREAS,637
11324,ANDREE,34679
11325,ANDREEA,179
11341,ANDREI,601
11342,ANDREIA,125
11386,ANDRES,554
11405,ANDREW,1746
11646,ANDRZEJ,434
11663,ANDY,762
11772,ANETTE,152
11840,ANGE,7442
11850,ANGEL,2162
11851,ANGELA,1796
11858,ANGELE,7910
11862,ANGELES,113
11867,ANGELICA,315
11876,ANGELIKA,161
11880,ANGELIN,137
11881,ANGELINA,1446
11883,ANGELINE,1442
11895,ANGELIQUE,10097
11914,ANGELO,3246
11967,ANGIE,129
12046,ANH,456
12064,ANIBAL,267
12074,ANICET,541
12078,ANICETTE,118
12090,ANICK,348
12183,ANIS,809
12207,ANISSA,851
12221,ANITA,4059
12252,ANJA,139
12383,ANN,1374
12384,ANNA,10067
12386,ANNABEL,407
12391,ANNABELLE,2131
12402,ANNAELLE,109
12407,ANNAICK,161
12409,ANNAIG,134
12469,ANNE,70450
12517,ANNELISE,228
12569,ANNET,121
12574,ANNETTE,4818
12602,ANNICK,20793
12613,ANNIE,33051
12638,ANNIK,164
12661,ANNITA,124
12701,ANNONCIADE,159
12761,ANNY,1540
12846,ANOUAR,421
12861,ANOUCHKA,155
12862,ANOUCK,208
12870,ANOUK,434
13014,ANSELME,823
13161,ANTHELME,109
13169,ANTHIME,105
13204,ANTHONY,20548
13284,ANTO,122
13290,ANTOI,138
13296,ANTOIN,183
13299,ANTOINE,59175
13312,ANTOINETTE,11019
13350,ANTON,444
13359,ANTONELLA,226
13371,ANTONI,284
13372,ANTONIA,1490
13392,ANTONIETTA,119
13400,ANTONIN,3326
13401,ANTONINA,122
13402,ANTONINE,214
13404,ANTONINO,440
13405,ANTONIO,16199
13425,ANTONIUS,169
13449,ANTONY,2534
13596,ANWAR,107
13610,ANY,120
13708,AOMAR,275
13935,APOLLINE,279
13996,APPOLINAIRE,156
13999,APPOLINE,153
14101,ARAB,205
14168,ARAM,152
14412,ARCHANGE,116
14648,ARESKI,169
14680,AREZKI,973
14816,ARIANE,1791
14854,ARIE,156
14859,ARIEL,395
14863,ARIELLE,632
14875,ARIF,214
14971,ARISTE,138
14990,ARISTIDE,1622
15135,ARLETTE,11235
15157,ARLINDO,309
15186,ARMAN,206
15188,ARMAND,17215
15190,ARMANDE,1621
15197,ARMANDINE,414
15201,ARMANDO,1140
15242,ARMEL,1635
15257,ARMELLE,4407
15264,ARMEN,253
15288,ARMENIO,124
15329,ARMINDO,402
15385,ARNALDO,230
15396,ARNAUD,22707
15404,ARNAULD,326
15407,ARNAULT,282
15447,ARNO,115
15454,ARNOLD,780
15527,ARON,125
15739,ARSENE,3198
15876,ARTHUR,9120
15949,ARTUR,606
15956,ARTURO,182
16065,ARY,150
16199,ASCENSION,132
16372,ASHLEY,193
16392,ASHRAF,122
16514,ASMA,276
16515,ASMAA,131
16687,ASSANE,161
16689,ASSANI,141
16743,ASSIA,447
16892,ASSUNTA,132
16962,ASTRID,2362
16964,ASTRIDE,234
17132,ATEF,184
17185,ATHANASE,348
17259,ATHMANE,101
17318,ATIKA,150
17390,ATMANE,135
17524,ATTILA,142
17532,ATTILIO,321
17567,ATTOUMANI,176
17633,AUBERT,287
17650,AUBIN,460
17707,AUDE,5295
17789,AUDREY,16889
17793,AUDRIC,117
17864,AUGU,103
17866,AUGUS,169
17873,AUGUST,339
17874,AUGUSTA,1558
17878,AUGUSTE,20528
17887,AUGUSTIN,5294
17889,AUGUSTINE,2669
17896,AUGUSTO,1453
18047,AUREL,245
18049,AURELE,216
18055,AURELIA,2248
18061,AURELIE,21834
18062,AURELIEN,9513
18070,AURELIO,310
18112,AURIANE,207
18161,AURORA,177
18162,AURORE,8175
18392,AVELINO,374
18601,AWA,213
18684,AXEL,3261
18689,AXELLE,1365
18707,AYA,120
18804,AYDIN,189
18870,AYHAN,275
18932,AYMAN,122
18937,AYMAR,163
18948,AYMEN,380
18954,AYMERIC,1806
19023,AYOUB,486
19055,AYSE,382
19228,AZDINE,140
19238,AZEDDINE,204
19246,AZEDINE,178
19379,AZIZ,1815
19380,AZIZA,429
19513,AZZEDDINE,184
19515,AZZEDINE,587
19550,AZZOUZ,115
19554,BA,140
19585,BABA,170
19588,BABACAR,212
19722,BACAR,165
19782,BACHIR,1267
19923,BADIA,107
19989,BADR,237
20003,BADRE,107
20006,BADREDDINE,191
20221,BAHIA,105
20467,BAKARY,243
20885,BALTHAZAR,167
21149,BAO,101
21212,BAPTISTE,13148
21218,BAPTISTIN,234
21220,BAPTISTINE,282
21312,BARBARA,5650
21333,BARBE,192
21432,BAREK,122
21488,BARIS,109
21553,BARNABE,324
21704,BARRY,243
21741,BARTHELEMY,1646
21901,BASILE,1251
21963,BASSAM,134
21985,BASSEM,146
22025,BASSIROU,117
22078,BASTIEN,3474
22338,BAUDOIN,109
22341,BAUDOUIN,220
22445,BAYA,270
22525,BAYRAM,351
22610,BE,135
22645,BEATA,171
22646,BEATE,119
22661,BEATRICE,22025
22669,BEATRIX,589
22670,BEATRIZ,288
22839,BECHIR,781
23270,BEKIR,233
23301,BELA,106
23325,BELAID,516
23431,BELGACEM,426
23526,BELINDA,398
23560,BELKACEM,1376
23610,BELLA,115
23865,BEN,5574
23921,BENAISSA,243
23930,BENALI,118
23939,BENAMAR,224
23961,BENAOUDA,103
24139,BENEDICT,140
24141,BENEDICTE,6702
24360,BENITO,414
24379,BENJAMIN,18393
24381,BENJAMINE,149
24504,BENOIST,339
24506,BENOIT,24241
24507,BENOITE,229
24604,BENT,189
24685,BENYOUNES,115
24749,BERANGER,159
24750,BERANGERE,1175
24851,BERENGER,187
24852,BERENGERE,1340
24858,BERENICE,697
25048,BERN,107
25049,BERNA,177
25069,BERNADETTE,23414
25075,BERNADIN,126
25095,BERNAR,159
25096,BERNARD,150715
25114,BERNARDIN,147
25116,BERNARDINE,109
25118,BERNARDINO,178
25125,BERNARDO,209
25156,BERND,154
25182,BERNHARD,162
25326,BERTHA,142
25338,BERTHE,5940
25412,BERTILLE,378
25418,BERTIN,595
25451,BERTRAND,17221
25492,BERYL,120
25746,BETTINA,573
25758,BETTY,2242
26029,BIAGIO,109
26049,BIANCA,290
26113,BIBI,332
26142,BICH,150
26227,BIENAIME,109
26250,BIENVENU,203
26356,BILAL,770
26382,BILEL,408
26431,BILLAL,130
26446,BILLEL,154
26475,BILLY,368
26590,BINH,119
26633,BINTOU,140
26718,BIRGIT,158
27026,BLAISE,1429
27049,BLANC,102
27062,BLANCHE,4365
27098,BLANDINE,3825
27218,BLEUETTE,111
27338,BO,114
27365,BOB,153
27549,BOGDAN,420
28026,BONAVENTURE,156
28114,BONIFACE,325
28427,BORIS,3488
28773,BOUALEM,730
28839,BOUAZZA,152
28846,BOUBACAR,361
28862,BOUBAKER,198
28884,BOUBEKEUR,122
28896,BOUBKER,103
28900,BOUBOU,110
28921,BOUCHAIB,265
28985,BOUCHRA,442
28993,BOUCHTA,146
28995,BOUCIF,109
29070,BOUDJEMA,208
29071,BOUDJEMAA,127
29315,BOUJEMAA,241
29542,BOUMEDIENE,193
29543,BOUMEDIENNE,193
29996,BOUSSAD,276
30205,BOUZIANE,158
30207,BOUZID,279
30413,BRAHAM,132
30421,BRAHIM,4544
30530,BRANDON,460
30745,BRENDA,253
30748,BRENDAN,163
30868,BRIAN,1100
30892,BRICE,4425
30950,BRIEUC,182
30990,BRIGITTE,34627
31352,BRUCE,595
31422,BRUNA,310
31477,BRUNO,54840
31535,BRYAN,883
31762,BULENT,223
31798,BUN,107
31926,BURHAN,122
32167,CAB,102
32371,CAFER,104
32642,CALIXTE,511
32715,CALOGERO,468
32775,CAM,104
32836,CAMEL,157
32842,CAMELIA,276
32898,CAMILLA,137
32899,CAMILLE,29976
32909,CAMILO,125
33089,CANDICE,901
33092,CANDIDA,106
33094,CANDIDE,210
33096,CANDIDO,245
33112,CANDY,288
33368,CAPUCINE,688
33542,CARINA,243
33544,CARINE,6745
33549,CARINNE,195
33568,CARL,923
33569,CARLA,907
33614,CARLO,1075
33619,CARLOS,6868
33652,CARMEL,223
33653,CARMELA,408
33680,CARMELO,744
33683,CARMEN,5249
33715,CARMINE,300
33758,CAROL,1127
33765,CAROLE,17869
33776,CAROLINA,400
33777,CAROLINE,26463
33788,CAROLLE,179
33799,CAROLYN,188
34083,CASIMIR,1625
34088,CASIMIRO,123
34129,CASSANDRA,561
34130,CASSANDRE,370
34294,CATALDO,136
34297,CATALIN,225
34298,CATALINA,188
34314,CATARINA,153
34345,CATERINA,194
34359,CATHARINA,182
34392,CATHERINE,69665
34419,CATHIA,204
34424,CATHIE,239
34443,CATHY,3617
34454,CATIA,121
34535,CATY,113
34775,CECIL,222
34777,CECILE,29191
34785,CECILIA,2253
34788,CECILIEN,112
34849,CEDRIC,23681
34852,CEDRICK,392
34859,CEDRIK,126
34943,CELAL,165
34996,CELESTE,556
35002,CELESTIN,2282
35004,CELESTINE,661
35007,CELESTINO,177
35019,CELIA,2477
35055,CELINA,483
35059,CELINE,32492
35127,CELSO,109
35152,CEMAL,156
35170,CEMIL,133
35205,CENDRINE,510
35224,CENGIZ,204
35435,CESAIRE,166
35442,CESAR,2473
35444,CESARE,112
35456,CESARINE,143
35624,CHABANE,341
35738,CHADIA,114
35811,CHAFIK,227
35942,CHAIB,139
36028,CHAKER,106
36033,CHAKIB,202
36130,CHALOM,176
36354,CHAN,154
36685,CHANTAL,37634
36688,CHANTALE,475
36850,CHAOUKI,193
36968,CHARBEL,106
37001,CHAREF,107
37076,CHARL,110
37088,CHARLE,263
37101,CHARLEMAGNE,226
37104,CHARLENE,2704
37113,CHARLES,71241
37130,CHARLETTE,448
37132,CHARLEY,309
37144,CHARLIE,1135
37148,CHARLINE,2418
37168,CHARLOT,135
37177,CHARLOTTE,16383
37187,CHARLY,2092
37191,CHARLYNE,154
37414,CHAU,128
37664,CHEDLI,168
37717,CHEICK,130
37741,CHEIKH,562
37946,CHENG,119
38115,CHERIF,1341
38116,CHERIFA,263
38214,CHERYL,108
38443,CHI,286
38469,CHIARA,201
38926,CHLOE,5408
39029,CHOKRI,294
39219,CHOUKRI,150
39298,CHRETIEN,117
39313,CHRIS,615
39409,CHRIST,319
39410,CHRISTA,248
39440,CHRISTEL,3630
39442,CHRISTELE,1556
39446,CHRISTELLE,20418
